"logFC","unshrunk.logFC","logCPM","PValue","FDR","topDE"
"Tcas000442",1.17113292624754,1.17189530821814,5.15798147777607,0.000158823520013201,0.0323870328973857,"UP"
"Tcas007810",-0.910213731754913,-0.910951721927565,4.72939149539769,0.000165978397613524,0.0331318435398133,"NA"
"Tcas011487",-1.2716118969116,-1.27170813100718,8.48338728240699,0.000169417652640461,0.0331318435398133,"DOWN"
"Tcas009833",-1.05346481575189,-1.05365356662712,7.42060326172592,0.000172423525227211,0.0331318435398133,"DOWN"
"Tcas000454",0.927459041038399,0.929593065652634,3.45293486476631,0.000189713384348601,0.0357663421964382,"NA"
"Tcas005680",-1.18878128954517,-1.18971480524532,5.28279847328435,0.000199106180240214,0.0368420176474115,"DOWN"
"Tcas009707",-1.20618492064319,-1.20652159216483,6.76048598422742,0.000208149817122335,0.0378151449579339,"DOWN"
"Tcas009042",-1.03492095561506,-1.03498741070541,8.33020850886735,0.000215817513495896,0.0385080106223392,"DOWN"
"Tcas009776",-1.15775762498664,-1.15780435651348,9.52752479664077,0.00023012471662403,0.0403404590966194,"DOWN"
"Tcas003545",-0.848596156491866,-0.848827210636349,6.46722838814712,0.000235390577509392,0.0405521146633422,"NA"
"Tcas001445",-1.68502338100472,-1.6859358256333,7.4420319710685,0.000240282984825792,0.0406933488877849,"DOWN"
"Tcas002505",1.42185670619184,1.42389272541628,4.20087560244271,0.000247836937640485,0.040730388029936,"UP"
"Tcas011344",-1.22007718055857,-1.22038916771825,6.23992406476304,0.000251782141000959,0.040730388029936,"DOWN"
"Tcas005588",-0.677586860461015,-0.677873857723923,5.68603304152025,0.00025273059025781,0.040730388029936,"NA"
"Tcas000357",-1.93698385524265,-1.93812863259424,5.04571895874507,0.000273004079463111,0.0432993136824667,"DOWN"
"Tcas007426",-1.26781792372172,-1.26846494993463,5.61544923595814,0.000288784776029764,0.0450476754656937,"DOWN"
"Tcas005361",0.990655486263374,0.993983107397096,2.98635335669789,0.000293044325987799,0.0450476754656937,"NA"
