"logFC","unshrunk.logFC","logCPM","PValue","FDR","topDE"
"Tcas004090",1.82887591284966,1.82930310580061,6.96314857974652,1.19497841396709e-06,0.000426436582584257,"UP"
"Tcas001054",0.863703173462607,0.864253936612607,5.1293272853779,1.52290546056122e-06,0.000511739441309151,"NA"
"Tcas011863",1.08483660444746,1.08489778885963,8.68769810651896,1.53644748191298e-06,0.000511739441309151,"UP"
"Tcas004041",2.61535790467684,2.61712488911125,5.78021387673533,1.78974630778703e-06,0.000576875648626064,"UP"
"Tcas003464",0.991287207119841,0.991451106444975,7.10093957795901,1.879151695859e-06,0.000586765117031973,"NA"
"Tcas010412",2.0794235368177,2.07954279797711,9.11364585577122,2.04543720461379e-06,0.000607538665366951,"UP"
"Tcas009776",1.40695235012768,1.40699956279198,9.52752479664077,2.06728529048002e-06,0.000607538665366951,"UP"
"Tcas003336",1.94744218576649,1.94863147585463,5.52599485793023,2.275108751605e-06,0.000649511047029633,"UP"
"Tcas010348",1.24937500245198,1.25032343391492,4.94626548242632,2.61332414307888e-06,0.000725342634379006,"UP"
"Tcas005879",1.08279498410427,1.08419931049513,4.17920303911251,2.83770056341375e-06,0.000766332541341358,"UP"
"Tcas009833",1.18985163248212,1.19002038856684,7.42060326172592,2.93664751689036e-06,0.000768467456507939,"UP"
"Tcas008385",1.72301202670504,1.72313288132788,8.61663175893214,2.99942261847574e-06,0.000768467456507939,"UP"
"Tcas000613",0.907179153260604,0.907651209474027,5.44729681453325,3.15301007828827e-06,0.00078762191755641,"NA"
"Tcas004279",1.66125110139006,1.66126858544878,11.3497716650436,4.13765895520666e-06,0.00100837776293719,"UP"
"Tcas011939",1.40877725416302,1.40902720283463,7.12385793341589,4.588260435593e-06,0.00109156900648679,"UP"
"Tcas004264",1.36005212851344,1.36070980404295,5.67537755935843,4.70163027805512e-06,0.00109252766833318,"UP"
"Tcas004296",2.45067199441898,2.45339559872527,5.02601888501846,5.20436733059386e-06,0.00118186450834759,"UP"
"Tcas005999",0.811966891877097,0.812179813502375,6.41030062619099,5.61099232163839e-06,0.00124327507048064,"NA"
"Tcas005611",0.968099099569511,0.968168092033195,8.25367423720561,5.91903199706094e-06,0.00124327507048064,"NA"
"Tcas000245",0.963372833354293,0.963586569121416,6.66669552890835,6.04912129266205e-06,0.00124327507048064,"NA"
"Tcas011095",1.54683965890804,1.5468598700744,10.961645024092,6.05048934157126e-06,0.00124327507048064,"UP"
"Tcas005680",1.26695785230874,1.26776771087565,5.28279847328435,6.15940203814528e-06,0.00124327507048064,"UP"
"Tcas005596",1.49340912097062,1.4934926470233,8.86319799618711,6.2213524343507e-06,0.00124327507048064,"UP"
"Tcas006179",1.38007395431997,1.38486112766954,3.0312368662552,7.00883665716207e-06,0.00133561967168651,"UP"
"Tcas008216",1.2234338090403,1.22423570463349,5.18609870266823,7.04162350382744e-06,0.00133561967168651,"UP"
"Tcas001505",0.836696803764364,0.836777642037728,7.8305795220077,7.08445182139561e-06,0.00133561967168651,"NA"
"Tcas009515",1.02038436745652,1.02061841998341,6.61058422679267,7.62772227846163e-06,0.00141141112974794,"UP"
"Tcas002003",2.01890688232552,2.01892951104711,11.4320055088152,7.8185824542416e-06,0.00142042319786877,"UP"
